page,stt,ma_so,nhom,ten_mon_an,ten_mon_an_en,nang_luong,nang_luong_don_vi,chat_dam,chat_beo,chat_bot_duong
4,11,VPF-000378,"Các món trứng, sữa và chế phẩm",Trứng gà ta rán,Fried free-range chicken eggs,81,Kcal,4.8,6.8,0.3
4,12,VPF-000377,"Các món trứng, sữa và chế phẩm",Trứng gà ta luộc,Boiled free-range chicken eggs,57,Kcal,5.1,4,0.2
4,13,VPF-000376,"Các món trứng, sữa và chế phẩm",Trứng gà ngải cứu,Egg omelette with mugwort,96,Kcal,6.3,7.5,0.7
4,14,VPF-000375,"Các món trứng, sữa và chế phẩm",Trứng gà công nghiệp luộc,Boiled farm chicken eggs,67,Kcal,5.9,4.7,0.4
4,15,VPF-000374,"Các món trứng, sữa và chế phẩm",Trứng chim cút luộc,Boiled quail eggs,15,Kcal,1.3,1.1,
5,1,VPF-000373,"Các món xôi, chè",Tào phớ,Silken tofu dessert,137,Kcal,4.8,0.4,28.3
5,2,VPF-000372,"Các món xôi, chè",Sữa chua mít,Yogurt with jackfruit,197,Kcal,4,5,34
5,3,VPF-000371,"Các món xôi, chè",Chè thưng,Southern-style mixed sweet dessert,265,Kcal,7.5,6.5,44.1
5,4,VPF-000370,"Các món xôi, chè",Chè thạch nhãn,Longan jelly dessert,235,Kcal,2.6,0.3,55.5
5,5,VPF-000369,"Các món xôi, chè",Chè sen,Lotus seed sweet dessert,92,Kcal,1.9,,21
5,6,VPF-000368,"Các món xôi, chè",Chè kho,Thick mung bean sweet dessert,666,Kcal,35.8,4.6,120.4
5,7,VPF-000367,"Các món xôi, chè",Chè hạt sen long nhãn,Lotus seed and longan sweet dessert,107,Kcal,2,,24
5,8,VPF-000366,"Các món xôi, chè",Chè đỗ xanh,Mung bean sweet dessert,227,Kcal,10.5,1.1,43.8
5,9,VPF-000365,"Các món xôi, chè",Chè cốm,Green rice sweet dessert,474,Kcal,12.4,10.7,81.8
5,10,VPF-000364,"Các món xôi, chè",Chè bà cốt,Sweet glutinous rice dessert with ginger,210,Kcal,4,1,47
5,11,VPF-000363,"Các món xôi, chè",Xôi xéo,Sticky rice with mung bean and fried shallots,425,Kcal,12.1,,79.3
5,12,VPF-000362,"Các món xôi, chè",Xôi ngô,Corn sticky rice,376,Kcal,9.7,7.4,67.7
5,13,VPF-000361,"Các món xôi, chè",Xôi trứng ốp la,Sticky rice with fried egg,697,Kcal,23.8,24.3,95.8
5,14,VPF-000360,"Các món xôi, chè",Xôi trắng miệng bát,Plain sticky rice (bowl-sized),420,Kcal,10.1,11.9,90.5
5,15,VPF-000359,"Các món xôi, chè",Xôi thịt,Sticky rice with pork,681,Kcal,16.3,27.6,91.8
6,1,VPF-000358,"Các món xôi, chè",Xôi sắn,Cassava sticky rice,878,Kcal,20.6,3.8,190.4
6,2,VPF-000357,"Các món xôi, chè",Xôi lạp xưởng,Sticky rice with Chinese sausage,657,Kcal,18.3,22.4,95.6
6,3,VPF-000356,"Các món xôi, chè",Xôi lạc,Peanut sticky rice,490,Kcal,9.2,8.6,93.8
6,4,VPF-000355,"Các món xôi, chè",Xôi giò,Sticky rice with pork roll,478,Kcal,19.3,4.3,90.5
6,5,VPF-000354,"Các món xôi, chè",Xôi gấc,Red sticky rice with gac fruit,483,Kcal,6.9,2.3,108.4
6,6,VPF-000353,"Các món xôi, chè",Xôi gà,Sticky rice with chicken,588,Kcal,28,13,90
6,7,VPF-000352,"Các món xôi, chè",Xôi đỗ xanh,Mung bean sticky rice,438,Kcal,11.2,0.8,96.6
6,8,VPF-000351,"Các món xôi, chè",Xôi đỗ đen miệng bát,Black bean sticky rice (bowl-sized),456,Kcal,14.6,1.7,95.3
6,9,VPF-000350,"Các món xôi, chè",Xôi dừa,Coconut sticky rice,527,Kcal,11,6.4,106.3
6,10,VPF-000349,"Các món xôi, chè",Xôi chả,Sticky rice with pork sausage,650,Kcal,18.5,20.4,98
6,11,VPF-000348,"Các món xôi, chè",Xôi bánh khúc,Sticky rice with mugwort rice balls,341,Kcal,11.2,3.1,67.4
6,12,VPF-000347,"Các món bánh, kẹo",Thạch trái cây,Fruit jelly,22,Kcal,0.02,0.04,5.7
6,13,VPF-000346,"Các món bánh, kẹo",Socola thanh,Chocolate bar,233,Kcal,2.1,13.1,26.9
6,14,VPF-000345,"Các món bánh, kẹo",Kem socola,Chocolate ice cream,170,Kcal,1.1,12.5,13.3
6,15,VPF-000344,"Các món bánh, kẹo",Kem đậu xanh,Mung bean ice cream,100,Kcal,1.2,4.9,12.8
7,1,VPF-000343,"Các món bánh, kẹo",Bim bim,Snack chips,35,Kcal,1.2,5.1,9.9
7,2,VPF-000342,"Các món bánh, kẹo",Bánh sữa,Milk candy,30,Kcal,0,0,7
7,3,VPF-000341,"Các món bánh, kẹo",Kẹo sô cô la,Chocolate candy,27,Kcal,6.2,30.7,55.3
7,4,VPF-000340,"Các món bánh, kẹo",Kẹo dừa,Coconut candy,20,Kcal,0,0.6,3.7
7,5,VPF-000339,"Các món bánh, kẹo",Kẹo cà phê,Coffee candy,11,Kcal,0,0,2.7
7,6,VPF-000338,"Các món bánh, kẹo",Kẹo bạc hà,Mint candy,4,Kcal,0,0,1
7,7,VPF-000337,"Các món bánh, kẹo",Phồng tôm chiên,Fried prawn crackers,104,Kcal,2.6,11.6,42.4
7,8,VPF-000336,"Các món bánh, kẹo",Bánh xèo,Vietnamese sizzling pancake,306,Kcal,20.7,2.9,49.5
7,9,VPF-000335,"Các món bánh, kẹo",Bánh tiêu,Vietnamese hollow fried dough,234,Kcal,3.4,13.9,23.8
7,10,VPF-000334,"Các món bánh, kẹo",Bánh rán nhân đỗ,Fried dough balls with mung bean filling,192,Kcal,3.3,10.2,21.9
7,11,VPF-000333,"Các món bánh, kẹo",Bánh rán mặn,Savory fried dough balls,207,Kcal,4.2,11.1,22.6
7,12,VPF-000332,"Các món bánh, kẹo",Bánh rán đường,Sugar-coated fried dough balls,252,Kcal,3.3,10.2,36.7
7,13,VPF-000331,"Các món bánh, kẹo",Bánh gối,Vietnamese pillow cake,196,Kcal,5.8,13,13.8
7,14,VPF-000330,"Các món bánh, kẹo",Bánh chuối,Banana cake,198,Kcal,39.3,2.4,10.2
7,15,VPF-000329,"Các món bánh, kẹo",Bánh trứng Custas,Custas egg cake,117,Kcal,1,6,12.5
8,1,VPF-000328,"Các món bánh, kẹo",Bánh quy tròn nhân kem Ritz,Ritz cream sandwich crackers,140,Kcal,2,7,16
8,2,VPF-000327,"Các món bánh, kẹo",Bánh quy,Biscuits,130,Kcal,3,1.6,26
8,3,VPF-000326,"Các món bánh, kẹo",Bánh quế,Wafer rolls,28,Kcal,0.5,0.9,4.6
8,4,VPF-000325,"Các món bánh, kẹo",Bánh nướng trứng đậu xanh,Baked mooncake with mung bean and egg yolk,648,Kcal,19.5,27.5,80.6
8,5,VPF-000324,"Các món bánh, kẹo",Bánh nướng thập cẩm,Mixed baked mooncake,706,Kcal,18,31.5,87.5
8,6,VPF-000323,"Các món bánh, kẹo",Bánh ngũ cốc cao năng lượng,High-energy cereal bars,110,Kcal,3,5,16
