alias_id,canonical_key,canonical_name_en,alias_text,alias_lang,alias_type,is_preferred,source,source_priority
ALIAS-001820,vermicelli soup with muscovy duck and meatball,Vermicelli soup with muscovy duck and meatball,mien ngan moc,vi,non_diacritic,False,NIN,1
ALIAS-001821,vermicelli mixed with eel,Vermicelli mixed with eel,mien luon tron,vi,non_diacritic,False,NIN,1
ALIAS-001822,vermicelli soup with eel,Vermicelli soup with eel,mien luon nuoc,vi,non_diacritic,False,NIN,1
ALIAS-001823,rice noodle soup with minced pork,Rice noodle soup with minced pork,hu tieu thit bam,vi,non_diacritic,False,NIN,1
ALIAS-001824,rice noodle soup with pork and shrimp (nam vang style),Rice noodle soup with pork and shrimp (Nam Vang style),hu tieu nam vang,vi,non_diacritic,False,NIN,1
ALIAS-001825,rice noodle soup with mixed seafood,Rice noodle soup with mixed seafood,hu tieu dai duong,vi,non_diacritic,False,NIN,1
ALIAS-001826,thick rice noodle soup with pork-rib,Thick rice noodle soup with pork-rib,banh canh suon heo,vi,non_diacritic,False,NIN,1
ALIAS-001827,thick rice noodle soup with flower crab,Thick rice noodle soup with flower crab,banh canh ghe,vi,non_diacritic,False,NIN,1
ALIAS-001828,pho thin,Pho Thin,pho thin,vi,non_diacritic,False,NIN,1
ALIAS-001829,pho with beef heel muscle,Pho with Beef heel muscle,pho loi bo,vi,non_diacritic,False,NIN,1
ALIAS-001830,pho mixed with chicken,Pho mixed with chicken,pho ga tron,vi,non_diacritic,False,NIN,1
ALIAS-001831,fried pho,Fried Pho,pho chien phong,vi,non_diacritic,False,NIN,1
ALIAS-001832,pho with rare beef,Pho with rare beef,pho bo tai chin,vi,non_diacritic,False,NIN,1
ALIAS-001833,pho with rare beef and brisket,Pho with rare beef and brisket,pho bo tai gau,vi,non_diacritic,False,NIN,1
ALIAS-001834,beef crab paste vermicelli,Beef crab paste vermicelli,bun rieu bo,vi,non_diacritic,False,NIN,1
ALIAS-001835,snail and pork rib vermicelli,Snail and pork rib vermicelli,bun oc suon,vi,non_diacritic,False,NIN,1
ALIAS-001836,cold snail vermicelli,Cold snail vermicelli,bun oc nguoi,vi,non_diacritic,False,NIN,1
ALIAS-001837,crab paste vermicelli with pork pie and beef,Crab paste vermicelli with pork pie and beef,"bun rieu cua, gio, bo",vi,non_diacritic,False,NIN,1
ALIAS-001838,rice vermicelli with snails and dipping sauce,Rice vermicelli with snails and dipping sauce,bun oc cham,vi,non_diacritic,False,NIN,1
ALIAS-001839,rice vermicelli with duck and dried bamboo shoots,Rice vermicelli with duck and dried bamboo shoots,bun ngan mang kho,vi,non_diacritic,False,NIN,1
ALIAS-001840,rice vermicelli with duck and fresh bamboo shoots,Rice vermicelli with duck and fresh bamboo shoots,bun ngan mang tuoi,vi,non_diacritic,False,NIN,1
ALIAS-001841,rice vermicelli with hai phong-style crab spring rolls,Rice vermicelli with Hai Phong-style crab spring rolls,bun nem cua be,vi,non_diacritic,False,NIN,1
